LABEL,AVERAGE_SEVERITY
Car,2.884729
Goods over 3.5t. and under 7.5t,2.833756
Pedal cycle,2.840244
Motorcycle 125cc and under,2.825494
Bus or coach (17 or more pass seats),2.883651
Minibus (8 - 16 passenger seats),2.835556
Motorcycle over 500cc,2.650574
Van / Goods 3.5 tonnes mgw or under,2.870800
Other vehicle,2.764407
Motorcycle over 125cc and up to 500cc,2.758079
Tram,2.875000
Agricultural vehicle,2.699346
Data missing or out of range,2.750000
Mobility scooter,2.710145
Goods 7.5 tonnes mgw and over,2.765754
Motorcycle 50cc and under,2.842585
Goods vehicle - unknown weight,2.870000
Ridden horse,2.838710
Electric motorcycle,2.000000
Taxi/Private hire car,2.899526
Motorcycle - unknown cc,2.743243
